filename,title,level,tactics,techniques,source_folder,original_path
file_event_lnx_exploit_cve_2025_32463.yml,Non-Standard Nsswitch.Conf Creation - Potential CVE-2025-32463 Exploitation,high,privilege-escalation,T1068,rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-32463/file_event_lnx_exploit_cve_2025_32463.yml
proc_creation_win_exploit_cve_2025_57791.yml,Commvault QLogin Argument Injection Authentication Bypass (CVE-2025-57791),high,initial-access,T1190,rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-57791/proc_creation_win_exploit_cve_2025_57791.yml
file_event_win_exploit_cve_2025_24054_library_ms.yml,Suspicious Creation of .library-ms File — Potential CVE-2025-24054 Exploit,medium,credential-access,T1187,rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-24054/file_event_win_exploit_cve_2025_24054_library_ms.yml
file_event_win_exploit_cve_2025_53770.yml,Potential SharePoint ToolShell CVE-2025-53770 Exploitation - File Create,critical,initial-access,T1190,rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-53770/file_event_win_exploit_cve_2025_53770.yml
web_win_iis_exploit_cve_2025_53770.yml,SharePoint ToolShell CVE-2025-53770 Exploitation - Web IIS,medium,initial-access,T1190,rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-53770/web_win_iis_exploit_cve_2025_53770.yml
proc_creation_win_exploit_cve_2025_53770_indicators.yml,Potential SharePoint ToolShell CVE-2025-53770 Exploitation Indicators,high,initial-access,T1190,rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-53770/proc_creation_win_exploit_cve_2025_53770_indicators.yml
web_invanti_epmm_cve_2025_4427_and_cve_2025_4428.yml,Potential Exploitation of CVE-2025-4427/4428 Ivanti EPMM Pre-Auth RCE,high,"execution,initial-access","T1190,T1203",rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-4427/web_invanti_epmm_cve_2025_4427_and_cve_2025_4428.yml
proc_creation_win_crushftp_susp_child_processes.yml,Suspicious CrushFTP Child Process,medium,"execution,initial-access","T1059.001,T1059.003,T1190",rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-31161/proc_creation_win_crushftp_susp_child_processes.yml
proc_creation_win_exploit_cve_2025_40551.yml,Suspicious Child Process of SolarWinds WebHelpDesk,high,initial-access,T1190,rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-40551/proc_creation_win_exploit_cve_2025_40551.yml
win_wsus_exploit_cve_2025_59287.yml,Exploitation Activity of CVE-2025-59287 - WSUS Deserialization,high,"execution,initial-access","T1190,T1203",rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-59287/win_wsus_exploit_cve_2025_59287.yml
proc_creation_win_exploit_cve_2025_59287.yml,Exploitation Activity of CVE-2025-59287 - WSUS Suspicious Child Process,high,"execution,initial-access","T1190,T1203",rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-59287/proc_creation_win_exploit_cve_2025_59287.yml
proc_creation_lnx_sap_netweaver_susp_child_process.yml,Suspicious Child Process of SAP NetWeaver - Linux,medium,"execution,initial-access,persistence","T1059.003,T1190",rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-31324/proc_creation_lnx_sap_netweaver_susp_child_process.yml
web_lnx_exploit_cve_2025_31324_sap_netviewer_webshell.yml,Potential SAP NetViewer Webshell Command Execution,high,"initial-access,persistence","T1190,T1505.003",rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-31324/web_lnx_exploit_cve_2025_31324_sap_netviewer_webshell.yml
proc_creation_win_sap_netweaver_susp_child_process.yml,Suspicious Child Process of SAP NetWeaver,medium,"execution,initial-access,persistence","T1059.003,T1190",rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-31324/proc_creation_win_sap_netweaver_susp_child_process.yml
file_event_win_sap_netweaver_webshell_creation.yml,Potential SAP NetWeaver Webshell Creation,medium,"execution,initial-access,persistence","T1059.003,T1190",rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-31324/file_event_win_sap_netweaver_webshell_creation.yml
file_event_lnx_sap_netweaver_webshell_creation.yml,Potential SAP NetWeaver Webshell Creation - Linux,medium,"execution,initial-access,persistence","T1059.003,T1190",rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-31324/file_event_lnx_sap_netweaver_webshell_creation.yml
web_lnx_exploit_cve_2025_31324_sap_netviewer_webshell_uploaded.yml,Potential Java WebShell Upload in SAP NetViewer Server,high,persistence,T1505.003,rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-31324/web_lnx_exploit_cve_2025_31324_sap_netviewer_webshell_uploaded.yml
proc_creation_win_exploit_cve_2025_57790.yml,Commvault QOperation Path Traversal Webshell Drop (CVE-2025-57790),high,persistence,T1505.003,rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-57790/proc_creation_win_exploit_cve_2025_57790.yml
proc_creation_win_exploit_cve_2025_10035.yml,Potential Exploitation of GoAnywhere MFT Vulnerability,high,"execution,initial-access,persistence","T1059.001,T1133,T1190",rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-10035/proc_creation_win_exploit_cve_2025_10035.yml
proc_creation_win_exploit_cve_2025_54309.yml,Potential Exploitation of CrushFTP RCE Vulnerability (CVE-2025-54309),high,"execution,initial-access,privilege-escalation","T1059.001,T1059.003,T1068,T1190",rules-emerging-threats,rules-emerging-threats/2025/Exploits/CVE-2025-54309/proc_creation_win_exploit_cve_2025_54309.yml
